variable_name,form_name,field_label,field_type,value_encoding,n_codes,cde_concept_name,cde_vocabulary,cde_concept_code,cde_domain,mapping_confidence
sex,ehr_information,Sex at birth,text,F=Female|M=Male|I=Intersex|99=Not Avaliable,4,Sex assigned at birth,LOINC,76689-9,Observation,1
genderid,demographics_survey,What gender do you identify as?,radio,1=Man (including transgender men)|2=Woman (including transgender women)|3=Non-binary|888=Other|777=Prefer not to say,5,Gender identity,LOINC,76691-5,Observation,1
cage,demographics_survey,Age (in years),text,,,Age,SNOMED,397669002,Observation,1
race_ehr,ehr_information,EHR Race,text,,,Race,LOINC,32624-9,Observation,1
ethnic_ehr,ehr_information,EHR Ethnicity,text,,,Ethnicity,SNOMED,7.23621E+14,Observation,1
px011002_metadata,px_sdoh_combined_survey,PhenX Education Attainment MetaData,text,,,,,,,
pxed1,px_sdoh_combined_survey,What is the highest grade or level of school you have completed or the highest degree you have received?,dropdown,"0=NEVER ATTENDED/KINDERGARTEN ONLY|1=1ST Grade|2=2ND Grade|3=3RD Grade|4=4TH Grade|5=5TH Grade|6=6TH Grade|7=7TH Grade|8=8TH Grade|9=9TH Grade|10=10TH Grade|11=11TH Grade|12=12TH Grade, No diploma|13=High School Graduate|14=GED or Equivalent|15=Some College, No degree|16=Associate Degree: Occupational, Technical, or Vocational Program|17=Associate Degree: Academic Program|18=Bachelor's Degree (Example: BA, AB, BS, BBA)|19=Master's Degree (Example: MA, MS, MEng, MEd, MBA)|20=Professional School Degree (Example: MD, DDS, DVM, JD)|21=Doctoral Degree (Example: PhD, EdD)|777=Prefer not to say|555=Don't know",24,What is the highest grade or level of school you have completed or the highest degree you have received [NHANES],LOINC,63504-5,Observation,1
pxhic4,px_sdoh_combined_survey,"Medicaid, Medical Assistance (MA), the Children's Health Insurance Program (CHIP), or any kind of state or government-sponsored assistance. plan based on income or a disability.",radio,1=Covered|0=Not Covered|999=Not Sure|777=Prefer not to say,4,PhenX - health insurance coverage protocol 011501,LOINC,63066-5,Measurement,0.5
cl_maristat,demographics_survey,Marital Status,radio,C51773=Married|C51774=Single|C51776=Divorced|C51775=Widowed|C53262=Domestic Partner|C51777=Living separately but not divorced|888=Other|777=Prefer not to say,8,Marital status,SNOMED,125680007,Observation,1
sumrjkncf,substance_use_survey,"Have you ever used marijuana (cannabis)? (This includes smoking marijuana, using cannabis concentrates, and edibles.)",radio,1=Yes|0=No|777=Prefer not to say,3,Marijuana user,SNOMED,733460004,Condition,0.5
suvpcdur,substance_use_survey,Do you vape or use e-cigarettes now?,radio,1=Yes|0=No|777=Prefer not to say,3,Electronic cigarette smoker,OMOP Extension,OMOP5181836,Observation,0.25
sualckncf,substance_use_survey,Have you ever consumed alcohol?,radio,1=Yes|0=No|777=Prefer not to say,3,Do you ever drink alcohol - including beer or wine [Reported.PHQ],LOINC,69721-9,Observation,0.75
diet4,dietary_survey,How many regular sodas or glasses of sweet tea did you drink each day?,radio,0=Less than 1|1=2-Jan|2=3 or more|777=Prefer not to say,4,Estimated oral intake of sugar sweetened drinks in 24 hours,SNOMED,818990008,Observation,0.75
height_vsorres,physical_assessment,Height (cm),text,,,Body height,LOINC,8302-2,Measurement,1
weight_vsorres,physical_assessment,Weight (kilograms),text,,,Body weight,LOINC,29463-7,Measurement,1
bmi_vsorres,physical_assessment,BMI,calc,,,Body mass index,SNOMED,60621009,Measurement,1
waist_vsorres,physical_assessment,Waist Circumference (inches),text,,,Waist circumference,SNOMED,276361009,Measurement,0.75
mhoccur_hbp,health_survey,High blood pressure,radio,1=Yes|0=No|777=Prefer not to say,3,Ever told by doctor or nurse that you have high blood pressure,LOINC,58295-7,Observation,1
bp1_sysbp_vsorres,physical_assessment,Systolic (mmHg),text,,,Systolic blood pressure,LOINC,2403450,Measurement,1
bp1_diabp_vsorres,physical_assessment,Diastolic (mmHg),text,,,Diastolic blood pressure,LOINC,2396814,Measurement,1
dmlcmpdat,diabetes_survey,Diabetes survey date,text,,,Performed on (specify date),LOINC,LA30233-3,Meas Value,0.75
cmtrt_glcs,screening_survey,"Do you use other injections to control your blood glucose levels?  Examples: Victoza, Ozempic, Symlin, Tanzeum, and Trulicity",yesno,,,Diabetic on non-insulin injectable medication,SNOMED,719566006,Observation,1
mhoccur_clsh,health_survey,High blood cholesterol,radio,1=Yes|0=No|777=Prefer not to say,3,Ever told by doctor or nurse that you have high blood cholesterol,LOINC,58292-4,Observation,1
mhoccur_cvdot,health_survey,"Other heart issues (Examples: pacemaker, heart valve disease, open heart surgery)",radio,1=Yes|0=No|777=Prefer not to say,3,Has doctor ever told you that you had heart trouble [PhenX],LOINC,64204-1,Observation,1
mhoccur_rvo,health_survey,"Retinal vascular occlusion (""stroke in the eye or eye vessels"" - in one or both eyes)",radio,1=Yes|0=No|777=Prefer not to say,3,Retinal vascular occlusion,SNOMED,73757007,Condition,1
mhoccur_ca,health_survey,Cancer (any type),radio,1=Yes|0=No|777=Prefer not to say,3,Cancer,LOINC,LA10524-9,Meas Value,1
mhoccur_plm,health_survey,"Chronic pulmonary (lung) problems (Examples: emphysema, asthma, tuberculosis, asbestosis)",radio,1=Yes|0=No|777=Prefer not to say,3,Chronic lung disease,SNOMED,413839001,Condition,1
ces3,cesd10_survey,I felt depressed,radio,0=Rarely or none of the time (< 1 day)|1=Some or a little of the time (1-2 days)|2=Occasionally or a moderate amount of time (3-4 days)|3=All of the time (5-7 days),4,Feeling depressed,LOINC,100772-3,Observation,1
ces7,cesd10_survey,My sleep was restless,radio,0=Rarely or none of the time (< 1 day)|1=Some or a little of the time (1-2 days)|2=Occasionally or a moderate amount of time (3-4 days)|3=All of the time (5-7 days),4,Restless sleep,LOINC,100777-2,Observation,1
dvamwendwnd,device_return,Was data downloaded from the physical activity monitor?,yesno,,,,,,,
via3,ophthalmic_survey,"Because of your eyesight, how much difficulty do you have noticing objects off to the side while you are walking along? Would you say:",radio,1=No difficulty|2=A little difficulty|3=Moderate difficulty|4=Extreme difficulty|5=Unable to do because of eyesight|777=Prefer not to say,6,Level of difficulty seeing objects off to the side,LOINC,66082-9,Observation,0.75
crcid_diet,dietary_survey,Interviewer Code,text,,,,,N/A - operational variable,,
dmlfrveg,diabetes_survey,"In a typical day, how many servings of fruits and vegetables do you consume?",radio,10=4-5 servings or pieces of fruits and raw vegetables per day|5=1-3 servings or pieces per day|0=Rarely or none|777=Prefer not to say,4,Number of portions of fruit and vegetables daily,SNOMED,401070008,Observation,0.75
mhoccur_ra,health_survey,Arthritis (joint pain),radio,1=Yes|0=No|777=Prefer not to say,3,Arthritis,SNOMED,3723001,Condition,1
