Survey,Version,Item Concept,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Field Annotation,Generalized Answer Codes,Registered Tier Rules,Controlled Tier Rules
Basics,,biologicalsexatbirth_sexatbirth,the_basics,,radio,What was your biological sex assigned at birth?,"SexAtBirth_Male, Male | SexAtBirth_Female, Female | SexAtBirth_Intersex, Intersex | SexAtBirth_SexAtBirthNoneOfThese, None of these describe me | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV,REGISTERED_ANSWERS_BUCKETED,SexAtBirth_GeneralizedDiffSex,REGISTERED_ANSWERS_BUCKETED,
Basics,,gender_genderidentity,the_basics,,checkbox,What terms best express how you describe your gender identity? (Check all that apply),"GenderIdentity_Man, Man | GenderIdentity_Woman, Woman | GenderIdentity_NonBinary, Non-binary | GenderIdentity_Transgender, Transgender | GenderIdentity_AdditionalOptions, None of these describe me, and I'd like to consider additional options | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV," @NONEOFTHEABOVE='PMI_PreferNotToAnswer,GenderIdentity_AdditionalOptions' REGISTERED_ANSWERS_BUCKETED",GenderIdentity_GeneralizedDiffGender,REGISTERED_ANSWERS_BUCKETED,
Basics,,aian_tribe,the_basics,,text,"Provide the name of the tribe in which you are enrolled  or affiliated or your tribal descent. (for example, Navajo Nation, Blackfeet Tribe, Mayan, Aztec, Native Village of Barrow Inupiat Traditional Government, Nome Eskimo Community, etc.)
",,,,,[aian_aianspecific(AIANSpecific_AmericanIndian)] = '1' or [aian_aianspecific(AIANSpecific_AlaskaNative)] = '1' or [aian_aianspecific(AIANSpecific_CentralSouthAmericanIndian)] = '1',,LV,REGISTERED_QUESTION_SUPPRESSED,,REGISTERED_QUESTION_SUPPRESSED,CONTROLLED_QUESTION_SUPPRESSED
Basics,,race_whatraceethnicity,the_basics,,checkbox,"Which categories describe you? Select all that apply. Note, you may select more than one group. ","WhatRaceEthnicity_AIAN, American Indian or Alaska Native (For example: Aztec, Blackfeet Tribe, Mayan, Navajo Nation, Native Village of Barrow Inupiat Traditional Government, Nome Eskimo Community, etc.) | WhatRaceEthnicity_Asian, Asian (For example: Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, etc.) | WhatRaceEthnicity_Black, Black, African American or African (For example: African American, Ethiopian, Haitian, Jamaican, Nigerian, Somali, etc.) | WhatRaceEthnicity_Hispanic, Hispanic, Latino, or Spanish  (For example: Columbian, Cuban, Dominican, Mexican or Mexican American, Puerto Rican, Salvadoran, etc.) | WhatRaceEthnicity_MENA, Middle Eastern or North African (For example: Algerian, Egyptian, Iranian, Lebanese, Moroccan, Syrian, etc.) | WhatRaceEthnicity_NHPI, Native Hawaiian or other Pacific Islander (For example: Chamorro, Fijian, Marshallese, Native Hawaiian, Tongan, etc.) | WhatRaceEthnicity_White, White (For example: English, European, French, German, Irish, Italian, Polish, etc.) | WhatRaceEthnicity_RaceEthnicityNoneOfThese, None of these fully describe me | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV," @NONEOFTHEABOVE=PMI_PreferNotToAnswer, REGISTERED_ANSWERS_BUCKETED","WhatRaceEthnicity_GeneralizedPopulation, WhatRaceEthnicity_GeneralizedMultPopulations",,
Basics,,educationlevel_highestgrade,the_basics,,radio,What is the highest grade or year of school you completed?,"HighestGrade_NeverAttended, Never attended school or only attended kindergarten | HighestGrade_OneThroughFour, Grades 1 through 4 (Primary school) | HighestGrade_FiveThroughEight, Grades 5 through 8 (Middle school) | HighestGrade_NineThroughEleven, Grades 9 through 11 (Some high school) | HighestGrade_TwelveOrGED, Grade 12 or GED (High school graduate) | HighestGrade_CollegeOnetoThree, 1 to 3 years after high school (Some college, Associate's Degree, or technical school) | HighestGrade_CollegeGraduate, College 4 years or more (College graduate) | HighestGrade_AdvancedDegree, Advanced degree (Master's, Doctorate, etc.) | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV,REGISTERED_ANSWERS_BUCKETED,"HighestGrade_GeneralizedNoHighSchoolDegree, HighestGrade_GeneralizedCollegeAndAbove",REGISTERED_ANSWERS_BUCKETED,
Social Determinants of Health,,sdoh_intro,social_determinants_of_health_english,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Thank you (again) for being a part of the <em> All of Us </em> Research Program. Many things can make us sick or keep us healthy. Where you were born or where you live, go to school, or work can affect your health. These are sometimes referred to as social factors, or the ""social determinants"", of health. </span><span style=""font-weight: normal;"">Help us learn more by completing this survey about your neighborhood, social life, stress, and feelings about your everyday life. This survey will take less than 10 minutes to complete. </span><br /><br /><span style=""font-weight: normal;"">Please answer each question as honestly as possible. It is important that you answer as many questions as you can. We are looking for your own answers, and not what you think your doctors, family, or friends want you to say.</span><br /><br /><span style=""font-weight: normal;"">Don't feel like you have to spend a long time on each question. The first answer that comes to you is usually the best one. If you aren't sure how to answer a question, choose the best answer from the options given. Some of the questions may be sensitive. You can choose not to answer.</span></p></div>",,,,,,,,,,,
Basics,,employment_employmentstatus,the_basics,"The next questions are about your job, income, and where you live.",checkbox,What is your current employment status? Please select 1 or more of these categories.,"EmploymentStatus_EmployedForWages, Employed for wages (part-time or full-time) | EmploymentStatus_SelfEmployed, Self-employed | EmploymentStatus_OutOfWorkOneOrMore, Out of work for 1 year or more | EmploymentStatus_OutOfWorkLessThanOne, Out of work for less than 1 year | EmploymentStatus_Homemaker, A homemaker | EmploymentStatus_Student, A student | EmploymentStatus_Retired, Retired | EmploymentStatus_UnableToWork, Unable to work (disabled) | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV,@NONEOFTHEABOVE=PMI_PreferNotToAnswer REGISTERED_ANSWERS_BUCKETED,"EmploymentStatus_GeneralizedEmployed, EmploymentStatus_GeneralizedNotEmployed",REGISTERED_ANSWERS_BUCKETED,
Basics,,maritalstatus_currentmaritalstatus,the_basics,,radio,What is your current marital status?,"CurrentMaritalStatus_Married, Married | CurrentMaritalStatus_Divorced, Divorced | CurrentMaritalStatus_Widowed, Widowed | CurrentMaritalStatus_Separated, Separated | CurrentMaritalStatus_NeverMarried, Never married | CurrentMaritalStatus_LivingWithPartner, Living with partner | PMI_PreferNotToAnswer, Prefer not to answer",,,,,,LV,,,,
Basics,,insurance_healthinsurance,the_basics,The next questions are about health insurance. Include health insurance obtained through employment or purchased directly as well as government programs like Medicare and Medicaid that provide medical care or help pay medical bills.,radio,Are you covered by health insurance or some other kind of health care plan?,"HealthInsurance_Yes, Yes | HealthInsurance_No, No | PMI_PreferNotToAnswer, Prefer not to answer | PMI_Dontknow, Don't know",,,,,,LV,,,,
Healthcare Access and Utilizati,,healthadvice_spokentophysicaltherapist,healthcare_access_and_utilization,,radio,"A physical therapist, speech therapist, respiratory therapist, audiologist, or occupational therapist?","SpokenToPhysicalTherapist_Yes, Yes | SpokenToPhysicalTherapist_No, No | PMI_Dontknow, Don't know",,,,[healthadvice_spokentoprofessional] = 'SpokenToProfessional_6moOrLess' or [healthadvice_spokentoprofessional] = 'SpokenToProfessional_6MoTo1YearAgo' or [healthadvice_spokentoprofessional] = 'PMI_Dontknow',,LV,,,,
