table,name,valueType,unit,label:en,question:en,comment:en,value_encoding
Tracking_Baseline_v4-1,SEX_ASK_TRM,text,,Sex,Are you male or female?,,M=Male|F=Female
Tracking_Baseline_v4-1,CR2_GNDR_TRM,text,,Gender of person who provided most non-professional assistance,Is the person who provided the most assistance male or female?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Male|2=Female
Tracking_Baseline_v4-1,AGE_NMBR_TRM,integer,,Age (years),What is your age?,Calculated: Date of interview less reported Date of Birth. The few cases of ages outside the study population range (45-85) are due to time lapse issues between the initial recruitment stage and the actual date the interview was completed.,
Tracking_Baseline_v4-1,CR2_DEVC_LG_TRM,text,,"Used leg braces, supportive devices","During the past 12 months, have you used any of the following assistive devices?",,1=Yes|0=No
Tracking_Baseline_v4-1,SDC_ETHN_CA_TRM,text,,Parental ethnic background Canadian,To which ethnic or cultural groups did your ancestors belong?,,1=Yes|0=No
Tracking_Baseline_v4-1,ED_ELHS_TRM,text,,Education highest elementary or high school grade,What is the highest grade of elementary or high school you have ever completed?,,1=Grade 8 or lower (Québec: Secondary II or lower)|2=Grade 9 - 10 (Québec: Secondary III or IV; Newfoundland and Labrador; 1st year of Secondary)|3=Grade 11 - 13 (Québec: Secondary V; Newfoundland and Labrador: 2nd to 4th year of Secondary)
Tracking_Baseline_v4-1,SN_PERWSCH_NB_TRM,decimal,,Number of people known through work or school,"Aside from family members, close friends, and neighbours, about how many other people do you know personally (i.e., by name) through…Work or school?",Maximum allowable is 100.,
Tracking_Baseline_v4-1,FUL_SHLDDG_TRM,text,,Degree of difficulty extending arms above shoulders,"Would you say the degree of difficulty is… a little difficult, somewhat difficult, very difficult?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=A little difficult|2=Somewhat difficult|3=Very difficult
Tracking_Baseline_v4-1,RET_STDLIV_TRM,text,,Perceived standard of living before retirement,"Before your retirement, how adequate did you think your household income and investments would be to maintain your standard of living? Would you say they were…",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Adequate|2=Barely adequate|3=Inadequate
Tracking_Baseline_v4-1,SDC_MRTL_TRM,text,,Marital/partner status,What is your current marital/partner status?,,"1=Single, never married or never lived with a partner|2=Married/Living with a partner in a common-law relationship|3=Widowed|4=Divorced|5=Separated"
Tracking_Baseline_v4-1,RET_WHY_IN_TRM,text,,Employer incentives contributed to retirement,There are many reasons why people retire. Which of the following reasons contributed to your decision to retire?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Tracking_Baseline_v4-1,HCU_PHYSIO_MCQ,text,,"Contact with a physiotherapist, occupational therapist, or chiropractor in past 12 months","During the past 12 months, have you had contact with any of the following about your physical or mental health? - Physiotherapist, occupational therapist, or chiropractor",,
Tracking_Baseline_v4-1,SMK_100CG_TRM,text,,Ever smoked 100 cigarettes or more,Have you smoked at least 100 cigarettes in your life?  (about 4 - 5 packs),,1=Yes|2=No
Comprehensive_Baseline_v7-2,ICQ_SMOKETIME_HOURS_COM,integer,,"Time since last cigarette, cigar or pipe","How many hours since your last cigarette, cigar or pipe?",,
Tracking_Baseline_v4-1,SMK_OTREG_TRM,text,,Ever used other tobacco or nicotine products,"In your lifetime, have you ever used other types of tobacco on a regular basis and for a period of at least six months?",,1=Yes|2=No
Tracking_Baseline_v4-1,ALC_EVER_TRM,text,,Ever alcohol consumption,Have you ever drunk alcohol?,,1=Yes|2=No
