variable_name,dataset,description,data_type,units,value_encoding,n_codes,dbgap_variable_id,dbgap_study
shbg1,MESA_AncilMesaSexHormone,SEX HORMONE BINDING GLOBULIN,NUMERIC,nmoI/L,,,phv00090187.v2,phs000209.v13
gender1,MESA_AirNRExam5Main,GENDER,NUMERIC,,0=FEMALE|1=MALE,2,phv00174586.v1,phs000209.v13
age5,MESA_AirNRExam5Main,Q3) HOW OLD ARE YOU?,NUMERIC,,0=MISSED BY >3 YEARS|1=MISSED BY 1-3 YEARS|2=CORRECT|9=NOT ATT/DISABLED,4,phv00174655.v1,phs000209.v13
race1c,MESA_AirNRExam5Main,RACE / ETHNICITY,NUMERIC,,"1=WHITE, CAUCASIAN|2=CHINESE AMERICAN|3=BLACK, AFRICAN-AMERICAN|4=HISPANIC",4,phv00174585.v1,phs000209.v13
educ1,MESA_AirNRExamMain,EDUCATION: HIGHEST LEVEL COMPLETED,NUMERIC,,0=NO SCHOOLING|1=GRADES 1-8|2=GRADES 9-11|3=COMPLETED HIGH SCHOOL/GED|4=SOME COLLEGE BUT NO DEGREE|5=TECHNICAL SCHOOL CERTIFICATE|6=ASSOCIATE DEGREE|7=BACHELOR'S DEGREE|8=GRADUATE OR PROFESSIONAL SCHOOL,9,phv00083223.v1,phs000209.v13
naschl1,MESA_AirNRExamMain,"SCHOOLS, COLLEGES, OR COMMUNITY CENTERS WITH RECREATIONAL FACILITIES FREE AND OPEN TO PUBLIC",NUMERIC,,0=NO|1=YES|9=DO NOT KNOW/UNKNOWN,3,phv00083183.v1,phs000209.v13
kdstrel5,MESA_AirNRExam5Main,KIDNEY STONE: FIRST DEGREE RELATIVES HAVING STONES,NUMERIC,,0=NO|1=YES|9=DO NOT KNOW / UNKNOWN,3,phv00175311.v1,phs000209.v13
income5,MESA_AirNRExam5Main,TOTAL GROSS FAMILY INCOME,NUMERIC,,"1=< $5000|2=$5000 - $7999|3=$8000 - $11999|4=$12000 - $15999|5=$16000 - $19999|6=$20000 - $24999|7=$25000 - $29999|8=$30000 - $34999|9=$35000 - $39999|10=$40000 - $49999|11=$50000 - $74999|12=$75000 - $99999|13=$100,000 - $124,999|14=$125,000 - $149,999|15=$150,000 OR MORE",15,phv00175446.v1,phs000209.v13
marital5,MESA_AirNRExam5Main,MARITAL STATUS,NUMERIC,,1=MARRIED / LIVING WITH PARTNER|2=WIDOWED|3=DIVORCED|4=SEPARATED|5=NEVER MARRIED|6=PREFER NOT TO ANSWER,6,phv00175227.v1,phs000209.v13
curmar3,MESA_Exam3Main,ARE YOU CURRENTLY MARRIED OR LIVING WITH A PARTNER?,NUMERIC,,0=NO|1=YES,2,phv00086331.v2,phs000209.v13
empstat5,MESA_AirNRExam5Main,EMPLOYMENT STATUS AT EXAM 5,NUMERIC,,0=NO|1=YES,2,phv00175413.v1,phs000209.v13
curjob5,MESA_AirNRExam5Main,CURRENT OCCUPATION,NUMERIC,,1=HOMEMAKER|2=EMPLOYED FULL TIME|3=EMPLOYED PART TIME|4=EMPLOYED ON-LEAVE (HEALTH)|5=EMPLOYED ON-LEAVE (NON-HEALTH)|6=UNEMPLOYED < 6 MONTHS|7=UNEMPLOYED > 6 MONTHS|8=RETIRED NOT WORKING|9=RETIRED WORKING|10=RETIRED VOLUNTEERING,10,phv00175414.v1,phs000209.v13
avcday5,MESA_AirNRExam5Main,CIGARETTES SMOKED PER DAY,NUMERIC,,,,phv00175429.v1,phs000209.v13
qsmkdya4,MESA_AirNRSpirometry,CIGARETTES PER DAY,NUMERIC,,,,phv00083578.v1,phs000209.v13
chew1,MESA_AirNRExamMain,CHEWED TOBACCO AT LEAST 20 TIMES IN LIFETIME,NUMERIC,,0=NO|1=YES,2,phv00083264.v1,phs000209.v13
curalc5,MESA_AirNRExam5Main,PRESENTLY DRINK ALCOHOL,NUMERIC,,0=NO|1=YES,2,phv00175423.v1,phs000209.v13
liqwk5,MESA_AirNRExam5Main,LIQUOR OR MIXED DRINKS PER WEEK,NUMERIC,,,,phv00175427.v1,phs000209.v13
htcm5,MESA_AirNRExam5Main,HEIGHT (cm),NUMERIC,cm,,,phv00174630.v1,phs000209.v13
bcswtkg5,MESA_AirNRExam5Main,BODY COMPOSITION SCALE: CURRENT BODY WEIGHT (kg),NUMERIC,kg,,,phv00174637.v1,phs000209.v13
bmi5c,MESA_AirNRExam5Main,BODY MASS INDEX (kg/m^2),NUMERIC,kg/m^2,,,phv00174644.v1,phs000209.v13
ctbmi5,MESA_AirNRExam5Main,BMI AT CT,NUMERIC,,,,phv00174746.v1,phs000209.v13
waistcm5,MESA_AirNRExam5Main,WAIST CIRCUMFERENCE (cm),NUMERIC,cm,,,phv00174634.v1,phs000209.v13
dbp5c,MESA_AirNRExam5Main,SEATED DIASTOLIC BLOOD PRESSURE (mmHg),NUMERIC,mmHg,,,phv00175602.v1,phs000209.v13
s1bp5,MESA_AirNRExam5Main,SEATED BP: SYSTOLIC 1ST READING (mmHg),NUMERIC,mmHg,,,phv00175587.v1,phs000209.v13
d1bp5,MESA_AirNRExam5Main,SEATED BP: DIASTOLIC 1ST READING (mmHg),NUMERIC,mmHg,,,phv00175588.v1,phs000209.v13
