field_id,field_name,description,category,data_type,units,value_encoding,encoding_id,encoding_name,n_codes,participant_count
31,Sex,"Sex of participant. <p>Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.",Baseline characteristics,Categorical single,,0=Female|1=Male,9,,2,501938
84,Cancer year/age first occurred,"For each cancer entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",Medical conditions,Integer,,-3=Preferred not to answer|-1=Time uncertain/unknown,37,,2,52398
33,Date of birth,"Date of birth (DOB) of participant. <p>Acquired from central registry, updated by participant. <p> This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (~F52~) and Year of Birth (~F34~) instead.",Baseline characteristics,Date,,,,,,501938
2784,Ever taken oral contraceptive pill,"ACE touchscreen question ""Have you ever taken the contraceptive pill? (include the 'mini-pill')""",Female-specific factors,Categorical single,,1=Yes|0=No|-1=Do not know|-3=Prefer not to answer,100349,,4,272583
21000,Ethnic background,"This is an amalgam of sequential branching questions asked during the initial Assessment Centre visit as part of the touchscreen questionnaire. <br> <br> The question was dropped from the touchscreen protocol on 24/10/2016. It was reintroduced in early 2023, as it was required as a parameter for some repeat imaging measures.",Ethnicity,Categorical single,,1=White|1001=British|2001=White and Black Caribbean|3001=Indian|4001=Caribbean|2=Mixed|1002=Irish|2002=White and Black African|3002=Pakistani|4002=African|3=Asian or Asian British|1003=Any other white background|2003=White and Asian|3003=Bangladeshi|4003=Any other Black background|4=Black or Black British|2004=Any other mixed background|3004=Any other Asian background|5=Chinese|6=Other ethnic group|-1=Do not know|-3=Prefer not to answer,1001,,22,501067
22501,Year ended full time education,Year ended full time education,Work environment,Integer,calendar year,-2=Never went to school|-1=Do not know|-3=Prefer not to answer,100306,,3,121123
26422,Access to services score (Wales),"The purpose of this domain is to illustrate the deprivation as a result of a household's inability to access a range of services, considered necessary for day-to-day living. The access is by walking or using public bus services or both. The indicators used for the geographical access to services domain were: <ul> <li>Food shop</li> <li>GP surgery</li> <li>Primary school</li> <li>Post office</li> <li>Public library</li> <li>Leisure centre</li> <li>NHS dentist</li> <li>Secondary school</li> <li>Transport nodes</li> </ul>",Indices of Multiple Deprivation,Continuous,,,,,,21180
21041,Degree to which abdominal pain/discomfort/altered bowel habits affect/interfere with life in general,"Question asked: ""Please indicate how much abdominal pain or discomfort or altered bowel habits are affecting or interfering with your life in general."" <p> Participants were asked to move a slider to choose a number between 0 to 10, with 0 meaning ""not at all"" and 10 meaning ""completely"". Participants using an older browser were asked to select a button from 0 to 10. <p>The question in this field was taken from the IBS Severity Scoring System used with the authors' permission. <p>Francis CY, Morris J, Whorwell PJ. The irritable bowel severity scoring system: a simple method of monitoring irritable bowel syndrome and its progress. Alimentary Pharmacology & Therapeutics 1997;11(2):395-402",Digestive health,Categorical single,,0=0 - Not at all|1=1|2=2|3=3|4=4|5=5|6=6|7=7|8=8|9=9|10=10 - Completely|-818=Prefer not to answer,548,,12,183836
26411,Income score (England),"This domain measures the proportion of the population in an area experiencing deprivation related to low income. A combined count of income deprived individuals per LSOA is calculated by summing the following five indicators: <ul> <li>Adults and children in Income Support families</li> <li>Adults and children in Income-Based Jobseeker's Allowance families</li> <li>Adults and children in Pension Credit (Guarantee) families</li> <li>Adults and children in Child Tax Credit families (who are not in receipt of Income Support, Income-Based Jobseeker's Allowance or Pension Credit) whose equivalised income (excluding housing benefits) is below 60 per cent of the median before housing costs</li> <li>Asylum seekers in England in receipt of subsistence support, accommodation support, or both.</li> </ul>",Indices of Multiple Deprivation,Continuous,,,,,,432215
29088,Experienced a marital separation/divorce,"Mental Well-being online question:""Since you were sixteen, have you experienced: marital separation/divorce?""",Adverse life events,Categorical single,,"-3=Prefer not to answer|0=No, never|1=Yes, but not in the last 12 months|2=Yes, within the last 12 months",1933,,4,169989
93,"Systolic blood pressure, manual reading","Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",Blood pressure,Integer,mmHg,,,,,54054
22016,"Invitation to complete online occupational questionnaire, date sent",Dates that invitations to online occupational health questionnaire were emailed to participants.,Work environment,Date,,,,,,323462
1239,Current tobacco smoking,"ACE touchscreen question ""Do you smoke tobacco now?""",Smoking,Categorical single,,"1=Yes, on most or all days|2=Only occasionally|0=No|-3=Prefer not to answer",100347,,4,501087
20401,Ever addicted to any substance or behaviour,"Question asked: ""Have you been addicted to or dependent on one or more things, including substances (not cigarettes/coffee) or behaviours (such as gambling)?""",Addictions,Categorical single,,-818=Prefer not to answer|-121=Do not know|0=No|1=Yes,502,,4,157130
1618,Alcohol usually taken with meals,"ACE touchscreen question ""When you drink alcohol is it usually with meals?""<p>~F1618~ was collected from participants who indicated they drink alcohol, as defined by their answers to ~F1558~",Alcohol,Categorical single,,1=Yes|0=No|-6=It varies|-1=Do not know|-3=Prefer not to answer,100416,,5,400499
1518,Hot drink temperature,"ACE touchscreen question ""How do you like your hot drinks? (Such as coffee or tea)""",Diet,Categorical single,,1=Very hot|2=Hot|3=Warm|-2=Do not drink hot drinks|-3=Prefer not to answer,100398,,5,501081
39,Height measure device ID,Height measure gadget id,Body size measures,Text,,,,,,497770
21,Weight method,"Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed",Body size measures,Categorical single,,1=Direct entry|2=Manual entry of full results|3=Manual measurement of weight only|4=Not performed|-1=Question not asked due to previous answers,100261,,5,500322
23104,Body mass index (BMI),Body composition estimation by impedance measurement. Body Mass Index.<p>Increments of 0.1 .,Body composition by impedance,Continuous,Kg/m2,,,,,492605
48,Waist circumference,Waist circumference,Body size measures,Continuous,cm,,,,,499899
36,Blood pressure device ID,Blood pressure (Omron) gadget ID,Blood pressure,Text,,,,,,498500
2986,Started insulin within one year diagnosis of diabetes,"ACE touchscreen question ""Did you start insulin within one year of your diagnosis of diabetes?""<p>~F2986~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~",Medical conditions,Categorical single,,1=Yes|0=No|-1=Do not know|-3=Prefer not to answer,100349,,4,29700
26045,Glucose ,Glucose from overall diet.Estimated intake from past 24 hours.,Estimated food nutrients yesterday,Continuous,g,,,,,210739
26037,Cholesterol ,Cholesterol from overall diet.Estimated intake from past 24 hours.,Estimated food nutrients yesterday,Continuous,mg,,,,,210739
3088,Contra-indications for spirometry,"Contra-indications for spirometry are defined as any of the following: chest infection in the last month (ie, influenza, bronchitis, severe cold, pneumonia); history of detached retina; heart attack or surgery to eyes, chest or abdomen in last 3 months; history of a collapsed lung; Pregnancy (1st or 3rd trimester); currently on medication for tuberculosis.",Spirometry,Categorical single,,1=Yes|2=Unsure|0=No,100267,,3,500317
4238,Keystroke history (left),This is the keystroke history for the hearing test (left ear),Hearing test,Text,,,,,,240260
134,Number of self-reported cancers,Number of cancers entered,Medical conditions,Integer,,,,,,501109
22127,Doctor diagnosed asthma,"User asked ""Has a doctor ever told you that you have had any of the conditions below?""<p>""asthma"" was one of the options listed.",Medical information,Categorical single,,1=Yes|0=No,7,,2,121123
2090,"Seen doctor (GP) for nerves, anxiety, tension or depression","ACE touchscreen question ""Have you ever seen a general practitioner (GP) for nerves, anxiety, tension or depression?""",Mental health,Categorical single,,1=Yes|0=No|-1=Do not know|-3=Prefer not to answer,100349,,4,501067
20417,"Tense, sore, or aching muscles during worst period of anxiety","Question asked: ""When you were worried or anxious, were you also: Having tense, sore, or aching muscles?"" <p>Question was asked when ~F20425~ was Yes or ~F20420~ was at least 6 months.",Anxiety,Categorical single,,-121=Do not know|0=No|1=Yes,520,,3,48692
20400,Date of completing mental health questionnaire,Date of completing UK Biobank online mental health questionnaire.,Mental health,Date,,,,,,157161
20532,Did your sleep change?,"Question asked: ""Did your sleep change?"" <p>Question was asked when ~F20446~ was Yes or ~F20441~ was Yes.",Depression,Categorical single,,-818=Prefer not to answer|-121=Do not know|0=No|1=Yes,502,,4,88897
6015,Chest pain felt during physical activity,"Exercise safety question 2, asked prior to fitness test<p>""""Do you feel pain in your chest when you do physical activity""",ECG during exercise,Categorical single,,1=Yes|2=Unsure|0=No,100267,,3,96441
5992,"ECG, phase duration","ECG, phase duration<p>The exercise test consists of many phases. This field contains the duration of a phase in seconds in an exercise test.",ECG during exercise,Integer,,,,,,95036
3606,Chest pain or discomfort walking normally,"ACE touchscreen question ""Do you get this pain or discomfort when you walk at an ordinary pace on the level?""<p>~F3606~ was collected from participants who indicated that they get pain or discomfort in their chest, as defined by their answers to ~F2335~",Chest pain,Categorical single,,1=Yes|0=No|-1=Unable to walk on the level|-3=Prefer not to answer,100563,,4,89359
1538,Major dietary changes in the last 5 years,"ACE touchscreen question ""Have you made any major changes to your diet in the last 5 years?""",Diet,Categorical single,,"0=No|1=Yes, because of illness|2=Yes, because of other reasons|-3=Prefer not to answer",100400,,4,501081
20654,Liking for dried fruit,Liking for dried fruit measured on a 9-point scale.,Food (and other) preferences,Categorical single,,1=extremely dislike|2=2|3=3|4=4|5=neither like nor dislike|6=6|7=7|8=8|9=extremely like|-121=never tried|-818=do not wish to answer,96,,11,181943
20739,Liking for vegetables,Liking for vegetables measured on a 9-point scale.,Food (and other) preferences,Categorical single,,1=extremely dislike|2=2|3=3|4=4|5=neither like nor dislike|6=6|7=7|8=8|9=extremely like|-121=never tried|-818=do not wish to answer,96,,11,181943
