recordId,concept,verdict,cdeId,chosenCos,humanDecision,humanNote
g1,Biological sex,adopt,Sex Assigned At Birth,0.940,,
g2,Age at enrollment,adopt,Age At Enrollment (years),0.900,,
g3,Current smoking status,refine,Cigarette Smoking Status,0.790,,
g4,Systolic blood pressure,refine,Systolic Blood Pressure (mmHg),0.850,,
g5,Body mass index,refine,Body Mass Index (kg/m2),0.820,,
g6,Highest level of education,refine,Educational Attainment,0.740,,
g7,Household income,adopt,Annual Household Income,0.800,,
g8,Depression severity (PHQ-9 total),novel,,,,
g9,Sleep duration (hours/night),adopt,Sleep Duration (hours),0.820,,
g10,Alcohol intake frequency,refine,Alcohol Drinking Frequency,0.760,,
g11,Race / ethnicity,refine,Race Category,0.710,,
g12,Physical activity (MET-min/week),novel,,,,
g13,Marital status,adopt,Marital Status,0.840,,
g14,Waist circumference (cm),adopt,Waist Circumference (cm),0.800,,
g15,General self-rated health,adopt,General Health Rating,0.860,,
